iter	Passed	Remaining
0	160	15897
1	183	8981
2	203	6569
3	222	5346
4	235	4470
5	253	3970
6	267	3551
7	309	3556
8	329	3333
9	350	3150
10	360	2914
11	372	2728
12	383	2568
13	400	2457
14	416	2359
15	433	2278
16	451	2202
17	466	2126
18	484	2064
19	501	2006
20	517	1945
21	532	1887
22	547	1833
23	564	1786
24	581	1744
25	599	1707
26	615	1664
27	631	1622
28	647	1585
29	664	1549
30	675	1502
31	690	1468
32	702	1425
33	714	1387
34	727	1350
35	740	1316
36	752	1280
37	763	1245
38	779	1218
39	795	1192
40	810	1166
41	823	1137
42	839	1113
43	866	1102
44	883	1080
45	900	1056
46	908	1024
47	925	1003
48	951	989
49	964	964
50	982	943
51	999	922
52	1014	899
53	1030	878
54	1049	858
55	1066	837
56	1081	815
57	1096	794
58	1115	775
59	1132	754
60	1148	734
61	1166	715
62	1185	696
63	1203	676
64	1216	655
65	1228	632
66	1244	612
67	1264	595
68	1281	575
69	1297	556
70	1316	537
71	1337	520
72	1356	501
73	1374	482
74	1387	462
75	1403	443
76	1414	422
77	1430	403
78	1446	384
79	1461	365
80	1477	346
81	1491	327
82	1507	308
83	1524	290
84	1539	271
85	1554	253
86	1571	234
87	1589	216
88	1615	199
89	1631	181
90	1646	162
91	1663	144
92	1684	126
93	1701	108
94	1723	90
95	1749	72
96	1766	54
97	1789	36
98	1808	18
99	1827	0
